DATE,PRODUCT_ID,PRODUCT_BRAND,PACK_SIZE,UNIT_PRICE,SALES_QTY,SALES_VALUE,Year,Month,Day,Dayofweek,Weekofyear,Dayofyear,Is_weekend,lag_qty_1,lag_qty_2,lag_qty_3,lag_qty_7,lag_qty_14,lag_qty_30,lag_qty_60,lag_value_1,lag_value_2,lag_value_3,lag_value_7,lag_value_14,lag_value_30,lag_value_60,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,Product_Sale_Count,Days_Since_Last_Sale,Avg_Days_Between_Sales,Month_sin,Month_cos,Dayofweek_sin,Dayofweek_cos,Next_Purchase_Volume,Predicted_Next_Purchase_Volume,Model_RMSE
2024-09-30,FANTA_250 ML,FANTA,250 ML,2.0,8,20,2024,9,30,0,40,274,False,7.0,1.0,7.0,4.0,4.0,1.0,8.0,14.0,2.0,14.0,10.0,10.0,2.0,20.0,5.0,3.464101615145866,5.714285714285714,3.8172540616873114,8.428571428571429,11.869251066478606,170,1.0,1.4,-1.0,-1.8369701987210297e-16,0.0,1.0,6.0,10.5228405,4.52284049987793
2024-07-03,SPRITE_300 ML,SPRITE,300 ML,2.3,2,6,2024,7,3,2,27,185,False,2.0,2.0,2.0,3.0,3.0,7.0,2.0,6.0,6.0,6.0,9.0,9.0,21.0,6.0,2.0,0.0,2.142857142857143,0.37796447304292846,2.5714285714285716,0.8516306272429468,88,1.0,1.6,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,2.0,7.694241,5.694241046905518
2024-10-23,SPRITE_300 ML,SPRITE,300 ML,2.3,1,3,2024,10,23,2,43,297,False,13.0,2.0,4.0,38.0,2.0,2.0,2.0,31.0,6.0,12.0,92.0,6.0,6.0,6.0,6.333333333333333,5.859465277089365,11.428571428571429,12.56791076322568,7.142857142857143,9.65447001180154,172,1.0,1.2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,2.0,10.094066,8.09406566619873
2024-10-30,SPRITE_250 ML,SPRITE,250 ML,2.0,2,5,2024,10,30,2,44,304,False,23.0,29.0,3.0,2.0,67.0,2.0,8.0,50.0,65.0,7.0,5.0,149.0,5.0,20.0,18.333333333333332,13.613718571111002,9.0,11.747340124471883,14.642857142857142,18.95584806396586,279,1.0,1.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.0,12.985,11.984999656677246
2024-04-10,KELLOGS CORN FLAKES_500 G,KELLOGS CORN FLAKES,500 G,5.5,45,249,2024,4,10,2,15,101,False,77.0,77.0,23.0,12.0,91.0,81.0,16.0,415.0,415.0,128.0,65.0,495.0,450.0,88.0,59.0,31.17691453624091,60.0,30.648545370593684,70.28571428571429,24.502522857322464,92,1.0,1.0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,9.0,51.536545,42.53654479980469
2024-09-20,FANTA_200 ML,FANTA,200 ML,1.7,26,48,2024,9,20,4,38,264,False,3.0,8.0,4.0,4.0,7.0,8.0,4.0,6.0,16.0,8.0,8.0,12.0,16.0,8.0,5.0,2.6457513110752595,5.571428571428571,1.988059594785978,6.142857142857143,1.5619092289704628,110,1.0,1.4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,9.0,12.543828,3.543828010559082
2024-11-03,PEPSI_250 ML,PEPSI,250 ML,2.0,3,6,2024,11,3,6,44,308,True,23.0,15.0,12.0,9.0,3.0,9.0,3.0,46.0,30.0,24.0,18.0,6.0,18.0,6.0,16.666666666666668,5.686240703083642,29.285714285714285,32.72468123457858,28.071428571428573,33.26227774640676,165,1.0,1.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,3.0,19.508259,16.508258819580078
2024-05-15,MOUNTAIN DEW_300 ML,MOUNTAIN DEW,300 ML,2.3,3,9,2024,5,15,2,20,136,False,3.0,3.0,3.0,2.0,2.0,2.0,2.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,3.0,0.0,2.4285714285714284,0.5345224838438988,2.2857142857142856,0.46880723091936816,89,1.0,1.2,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,3.0,7.703021,4.703021049499512
2024-05-18,DOVE BODY WASH_500 ML,DOVE BODY WASH,500 ML,8.0,5,38,2024,5,18,5,20,139,True,24.0,24.0,44.0,66.0,10.0,54.0,75.0,193.0,193.0,346.0,528.0,77.0,432.0,588.0,30.666666666666668,11.547005383794552,33.857142857142854,21.341888165675755,32.92857142857143,19.120928066123497,111,1.0,4.4,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,24.0,25.443354,1.4433536529541016
2024-07-24,DASANI WATER_250 ML,DASANI WATER,250 ML,1.7,50,86,2024,7,24,2,30,206,False,41.0,23.0,57.0,18.0,22.0,18.0,40.0,74.0,40.0,96.0,30.0,44.0,32.0,72.0,40.333333333333336,17.009801096231723,23.714285714285715,18.670067717376742,46.785714285714285,69.25668928694901,197,1.0,1.0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,34.0,30.298012,3.7019882202148438
